URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
https://hl7.fr/ig/fhir/core/ValueSet/fr-core-vs-organization-type,2.1.0,active,,FRCoreValueSetOrganizationType,FR Core ValueSet Organization type,"Types de structures.  Organization types",,"Internal"
https://hl7.fr/ig/fhir/core/ValueSet/fr-core-vs-organization-uf-activity-field,2.1.0,draft,,FRCoreValueSetOrganizationUFActivityField,FR Core ValueSet Organization UF activity field,"Champ d'activité des structures UF.  Organization UF activity field",,"Internal"
https://hl7.fr/ig/fhir/core/ValueSet/fr-core-vs-patient-contact-role,2.1.0,active,,FRCoreValueSetPatientContactRole,FR Core ValueSet Patient contact role,"ValueSet patient contact role",,"THO (V2),ans.fr.nos"
https://hl7.fr/ig/fhir/core/ValueSet/fr-core-vs-patient-gender-INS,2.1.0,active,,FRCoreValueSetPatientGenderINS,FR Core ValueSet Patient gender INS ValueSet,"Genres autorisés dans le cadre du Patient INS.  Permitted genders for INS Patient",,"hl7.fhir.r4.core"
https://hl7.fr/ig/fhir/core/ValueSet/fr-core-vs-patient-identifier-type,2.1.0,active,,FRCoreValueSetPatientIdentifierType,FR Core ValueSet Patient identifier type,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose (identification of a patient).",,"THO (V2),Internal"
https://hl7.fr/ig/fhir/core/ValueSet/fr-core-vs-practitioner-identifier-type,2.1.0,active,,FRCoreValueSetPractitionerIdentifierType,FR Core ValueSet Practitioner identifier type,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose (providers identification)",,"THO (V2),ans.fr.nos,Internal"
https://hl7.fr/ig/fhir/core/ValueSet/fr-core-vs-practitioner-qualification,2.1.0,active,,FRCoreValueSetPractitionerQualification,FR Core ValueSet Practitioner qualification,"A code classifying the qualification of the provider",,"ans.fr.nos,Other"
https://hl7.fr/ig/fhir/core/ValueSet/fr-core-vs-practitioner-role-exercice,2.1.0,active,,FRCoreValueSetPractitionerRoleExercice,FR Core ValueSet PractitionerRole Exercice,"The exercice(s) of the practitioner.",,"ans.fr.nos"
https://hl7.fr/ig/fhir/core/ValueSet/fr-core-vs-practitioner-specialty,2.1.0,active,,FRCoreValueSetPractitionerSpecialty,FR Core ValueSet Practitioner specialty,"The modalities of exercice of the practitioner, registered by an official organization for a period of time.",,"ans.fr.nos"
https://hl7.fr/ig/fhir/core/ValueSet/fr-core-vs-relation-type,2.1.0,active,,FRCoreValueSetPatientRelationType,FR Core ValueSet relation type,"ValueSet relation type",,"ans.fr.nos"
https://hl7.fr/ig/fhir/core/ValueSet/fr-core-vs-schedule-type,2.1.0,active,,FRCoreValueSetScheduleType,FR Core ValueSet Schedule type,"Jeu de valeurs des types de Schedule.  A Schedule type",,"Internal"
https://hl7.fr/ig/fhir/core/ValueSet/fr-core-vs-schedule-unavailability-reason,2.1.0,active,,FRCoreValueSetUnavailabilityReason,FR Core ValueSet Unavailability Reason,"Raison d'indisponibilité",,"Internal"
https://hl7.fr/ig/fhir/core/ValueSet/fr-core-vs-title,2.1.0,draft,,FRCoreValueSetTitle,FR Core ValueSet Title,"The Patient or person civility",,"ans.fr.nos"
